8	3	A3	1	0	0	0	10
3	11	2	1	FF	FF	FF	FF
3	51	2	1	0	0	0	0
3	11	2	0	FF	FF	FF	FF
3	7F	11	80	0	0	0	0
3	11	2	0	FF	FF	FF	FF
3	7F	11	80	0	0	0	0
3	11	2	0	FF	FF	FF	FF
3	7F	11	80	0	0	0	0
2	1A	93	0	0	0	0	0
10	8	5A	32	30	31	35	32
30	1	0	68	3F	4C	0	68
21	32	38	0	0	0	0	0
2	1A	93	0	0	0	0	0
10	8	5A	32	30	31	35	32
30	1	0	0	0	0	0	0
21	32	38	0	0	0	0	0
2	1A	95	0	0	0	0	0
10	0F	5A	50	43	5F	5F	45
30	2	0	68	3F	4C	0	68
21	33	42	4F	4F	54	5F	30
22	35	42	0	0	0	0	0
2	1A	90	0	0	0	0	0
3	7F	1A	31	5F	5F	45	33
2	1A	97	0	0	0	0	0
3	7F	1A	31	5F	5F	45	33
2	1A	95	0	0	0	0	0
10	0F	5A	50	43	5F	5F	45
30	2	0	68	3F	4C	0	68
21	33	42	4F	4F	54	5F	30
22	35	42	0	0	0	0	0
2	10	81	0	0	0	0	0
2	50	81	43	5F	5F	45	33
2	10	89	0	0	0	0	0
3	7F	10	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	27	1	FF	FF	FF	FF	FF
3	7F	27	12	5F	5F	45	33
2	10	81	0	0	0	0	0
2	10	89	0	0	0	0	0
3	7F	10	33	0	0	0	0
2	27	1	FF	FF	FF	FF	FF
6	67	1	B9	48	8	0	0
6	27	2	DA	74	A1	D1	0
3	67	2	34	48	8	0	0
2	10	89	DA	74	A1	D1	0
