2	7E	0	0	0	0	0	0
2	7E	0	0	0	0	0	0
2	7E	0	0	0	0	0	0
3	22	F1	91	0	0	0	0
10	1D	62	F1	91	54	45	41
30	0	0	0	0	0	0	0
21	32	2B	1	1	32	31	39
22	30	30	35	34	35	50	30
23	31	31	36	32	31	34	37
24	36	35	0	0	0	0	0
3	22	F1	81	0	0	0	0
10	10	62	F1	81	1	5	32
30	0	0	0	0	0	0	0
21	32	38	35	31	31	36	33
22	50	30	31	0	0	0	0
3	22	F1	82	0	0	0	0
10	28	62	F1	0	3	7	32
30	0	0	0	0	0	0	0
21	32	38	35	31	36	32	31
22	50	30	31	7	32	32	38
23	35	31	36	33	35	50	30
24	31	7	32	32	38	35	31
25	31	36	38	50	30	31	0
7	22	F1	90	1	0	F1	97
10	30	62	F1	90	59	56	32
30	0	0	0	0	0	0	0
21	52	54	34	30	41	31	4A
22	42	38	35	33	38	35	36
23	1	0	56	4F	4C	56	4F
24	42	38	35	33	38	35	36
25	0	0	0	0	F1	97	0
26	1	0	1	0	0	0	0
2	27	29	0	0	0	0	0
3	7F	27	78	0	0	0	0
10	76	67	29	A5	83	4C	33
30	0	0	0	0	0	0	0
21	15	14	98	98	EE	6C	8F
22	B9	AE	A3	3A	66	FD	21
23	6B	2F	85	9E	B3	64	75
24	22	D4	15	42	5	7B	12
25	76	EF	DB	EB	48	D8	74
26	F0	D0	8	10	31	CC	17
27	D0	7E	EA	ED	DA	67	9A
28	C2	E9	3C	7F	1E	E0	0D
29	B0	D9	26	AA	1	1B	62
2A	A3	87	5C	DC	48	D2	64
2B	9F	A9	24	4B	29	96	31
2C	79	30	9F	EA	A6	DA	14
2D	E9	DA	6B	5	2A	6D	45
2E	42	C4	7	C0	5B	70	A0
2F	2E	A0	B5	80	1E	21	97
20	3F	A5	AE	D0	C5	4D	D7
10	82	27	2A	37	2C	D7	6C
31	FF	2	0	0	0	0	0
30	1	2	0	0	0	0	0
21	6B	E5	6	F3	23	C0	6
30	FF	2	0	0	0	0	0
22	E0	1E	15	F8	DE	BA	B5
23	63	21	8C	76	6	4D	B6
24	D7	BF	5A	63	6F	91	7A
25	23	4F	9	14	74	33	2B
26	3E	15	F6	65	E2	B1	56
27	98	D1	F7	F9	43	F1	0E
28	93	C3	2B	CC	99	88	77
